pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,979.2065952985783
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,975.0723647567854
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,977.0114393773727
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,972.8772088355797
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,968.7429782937868
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,983.980802690098
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,979.8465721483051
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,992.1072131455271
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,987.9729826037344
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,989.9120572243212
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,985.7778266825285
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,981.6435961407358
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,996.8814205370468
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,992.7471899952538
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,1005.0078309924759
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,1000.8736004506829
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,1002.8126750712702
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,998.6784445294772
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,994.5442139876843
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,1009.7820383839955
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,1005.6478078422026
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,1017.9084488394246
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,1013.7742182976319
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,1015.7132929182187
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,1011.579062376426
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,1007.4448318346333
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,1022.6826562309443
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,1018.5484256891514
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,1030.809066686373
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,1026.6748361445802
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,1028.6139107651677
